VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoW]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   
          0,           0,           0,       -4.06825507,      -5.382954794,      -5.252185718,      -9.755590848,        1.20309303,      -7.830437415,      0.3571101493,     0.02296994763,   -0.003554449064,     0.02095071066,    -0.04670387462,      -0.363669433,      0.3571101493,   -0.003554449064,     0.02296994763,     0.06432174406,    0.004276824939,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.507129087,      -2.204314307,      -3.730286831,      -2.389233106,      0.7640167965,      -8.219940911,      0.3892002317,    0.006216680791,  -0.0006365609953,    0.003868634512,     -0.0347027228,     -0.3956547083,      0.3892002317,  -0.0006365609953,    0.006216680791,     0.01597296272,    0.004276828578,     -0.4388740171,                 0,                 0,                 0,     -0.4390762335,     -0.3895034964
          0,           0,           2,      -4.676059651,      -2.363958584,      -3.847985133,      -2.645252293,      0.5974338439,      -8.991794192,      0.4112896059,   0.0003831000248,   0.0001964228413,   -0.001807050731,    -0.02767086969,     -0.4176574236,      0.4112896059,   0.0001964228413,   0.0003831000248,   0.0009314605068,    0.004276883509,     -0.6078045805,     -0.1596442776,     -0.1176983017,     -0.2560191869,      -0.605659186,      -1.161356777
          0,           0,           3,      -4.817329056,      -2.469902888,      -3.404604228,      -2.658784915,      0.4571722043,      -9.119772937,      0.4214614869,   0.0008047810075,   0.0005308627885,  -0.0009499207896,    -0.02629462417,     -0.4273837955,      0.4214614869,   0.0005308627885,   0.0008047810075,    0.001909500708,    0.004277139047,     -0.7490739858,     -0.2655885819,                 0,     -0.2695518096,     -0.7459208257,      -1.289335522
          0,           0,           4,      -4.831093887,      -2.496249299,       -3.09745683,      -2.624090349,      0.4498230292,      -9.084844214,      0.3806131418,    0.007387701303,    0.001508883678,     0.00615397372,    -0.02974837266,     -0.3854414593,      0.3806131418,    0.001508883678,    0.007387701303,     0.01941000058,    0.004277284368,     -0.7628388171,     -0.2919349924,                 0,      -0.234857243,     -0.7532700007,      -1.254406799
          0,           0,           0,      -4.821635199,      -2.544359101,      -3.023997029,      -2.629653298,      0.4653401455,      -9.246670103,      0.3538154827,     0.01155780331,    0.001990970918,     0.01057394179,    -0.03220271659,     -0.3578150311,      0.3538154827,    0.001990970918,     0.01155780331,     0.03266618865,    0.004277350677,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.875683854,      -2.642014969,      -3.200327206,      -2.710009247,       0.408072977,      -9.111806219,      0.3157822719,     0.01797056102,      0.0028275707,      0.0172532592,    -0.03624743204,     -0.3184892731,      0.3157822719,      0.0028275707,     0.01797056102,     0.05690807438,    0.004277450479,    -0.05404865531,    -0.09765586738,     -0.1763301779,    -0.08035594956,    -0.05726716845,                 0
          0,           0,           2,      -4.860366709,      -2.711250627,      -3.141967035,      -2.733788376,      0.4203251291,      -9.231180132,      0.2929688026,     0.02075500818,    0.003151045382,     0.02011719394,    -0.03801011499,     -0.2949384483,      0.2929688026,    0.003151045382,     0.02075500818,     0.07084374855,    0.004277577616,    -0.03873150938,     -0.1668915257,      -0.117970006,     -0.1041350783,    -0.04501501638,      -0.119373913
          0,           0,           3,      -4.875976676,      -2.772499373,      -3.260736877,      -2.773185067,      0.3988099505,      -9.169550783,      0.2587775509,     0.02400375764,     0.00356902092,     0.02336165767,     -0.0400424256,     -0.2597774147,      0.2587775509,     0.00356902092,     0.02400375764,     0.09275826887,    0.004277748877,    -0.05434147735,     -0.2281402721,     -0.2367398488,     -0.1435317692,    -0.06653019498,    -0.05774456416
          0,           0,           4,      -4.906698594,      -2.836452407,      -3.239539911,      -2.822829275,      0.3685588384,       -9.29849508,      0.2126552635,     0.02663904499,    0.003816634675,     0.02585827684,    -0.04156299983,     -0.2125983496,      0.2126552635,    0.003816634675,     0.02663904499,      0.1252686839,    0.004278192122,    -0.08506339484,     -0.2920933062,     -0.2155428823,     -0.1931759773,    -0.09678130707,     -0.1866888608
          1,           0,           0,       -3.99228766,      -1.794784391,      -2.408799857,      -1.785994503,       1.273832936,      -8.435623365,      0.1860838909,     0.02731850708,    0.003864061242,     0.02647998335,    -0.04192370214,     -0.1855289865,      0.1860838909,    0.003864061242,     0.02731850708,        0.14680748,    0.004278526066,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           1,        -4.1879699,      -2.051361298,       -2.50937817,      -1.970239424,       1.073429407,      -8.603005439,      0.1581204088,     0.03025644647,    0.004037099695,     0.02938606026,    -0.04363985723,     -0.1570256357,      0.1581204088,    0.004037099695,     0.03025644647,       0.191350672,    0.004279534689,     -0.1956822404,     -0.2565769071,     -0.1005783134,      -0.184244921,      -0.200403529,     -0.1673820738
