Time	Time Iteration	FSI Iteration	q1	qdot1	qddot1	
0.0	0	1	0.0	2.2861032799298027	0.0
0.001	1	2	0.0022845993811520227	2.2815921773174823	-9.01923684277761
0.002	2	2	0.0045601824922808145	2.2680766727416044	-18.002878878234146
0.003	3	2	0.006817768646461783	2.245610105724084	-26.915471775491298
0.004	4	2	0.009048448182537382	2.2142811415409405	-35.72184160215998
0.005	5	2	0.011243417627479263	2.1742134213009625	-44.387233639782
0.006	6	2	0.013394014439674395	2.1255650739907375	-52.87744954482593
0.007	7	2	0.015491751196019267	2.068528092411783	-61.15898231392523
0.008	8	2	0.01752834908790135	2.0033275754726727	-69.19914852071273
0.009000000000000001	9	2	0.019495770593874456	1.9302208398264828	-76.96621730237273
