VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoW]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   
          0,           0,           0,      -4.048910332,      -5.376285276,      -5.220786658,      -6.656918819,       1.354605802,      -7.841559459,      0.3860058336,      0.3439693275,   -0.001840799309,       0.368921252,     -0.1014113118,     -0.3735794224,      0.3674748624,   -0.001840799309,      0.3636999139,      0.8910987802,    0.003133614453,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.392919869,      -2.200465471,      -3.740712092,      -2.377102444,       1.010888672,      -8.229079433,      0.4065114487,      0.3040245817,   -0.000225204896,       0.328985723,    -0.09285446321,     -0.3961520918,      0.3900429217,   -0.000225204896,      0.3248830919,      0.7478868865,    0.003133621297,     -0.3440095376,                 0,                 0,                 0,     -0.3437171298,     -0.3875199746
          0,           0,           2,      -4.575381894,      -2.350044015,      -3.797927522,      -2.478529727,      0.8273456104,      -8.861754388,      0.4406121135,      0.2890389153,   0.0002753352899,      0.3154563209,    -0.08730411806,     -0.4309477128,      0.4248811419,   0.0002753352899,      0.3117026538,      0.6559940285,    0.003133664682,     -0.5264715622,     -0.1495785438,    -0.05721542993,     -0.1014272833,     -0.5272601915,      -1.020194929
          0,           0,           3,      -4.735394184,       -2.47005053,       -3.83455981,      -2.538867431,      0.6671443737,      -9.073173408,      0.4577239697,      0.2841307829,   0.0001383959914,       0.311372703,    -0.08398124298,     -0.4480267254,      0.4422264187,   0.0001383959914,      0.3076968132,       0.620747004,    0.003133797741,     -0.6864838527,     -0.2695850591,    -0.09384771834,     -0.1617649867,     -0.6874614282,       -1.23161395
          0,           0,           4,      -4.814701827,      -2.551804678,      -3.734324678,      -2.607974323,      0.5884488895,      -9.218753934,       0.453131948,      0.2822136179,   -6.49146579e-05,      0.3091628761,    -0.08247709758,     -0.4433131574,      0.4377410269,   -6.49146579e-05,      0.3055419477,      0.6228067102,    0.003134001187,     -0.7657914952,     -0.3513392064,                 0,     -0.2308718793,     -0.7661569123,      -1.377194476
          1,           0,           0,      -4.755317861,      -2.515424343,      -3.508955147,      -2.533250168,      0.6499350491,       -9.16570901,      0.4400311939,      0.2873435355,  -0.0001829896835,      0.3135075186,    -0.08505732543,     -0.4296547055,      0.4243897477,  -0.0001829896835,      0.3099791945,      0.6530071948,    0.003190489629,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           1,       -4.75711851,      -2.534101281,      -3.316434147,      -2.520442094,      0.6475095606,      -9.233410037,      0.4316534497,      0.2853648509,  -0.0002622199181,      0.3110031963,    -0.08382965366,     -0.4211917725,      0.4161270413,  -0.0002622199181,      0.3075647644,      0.6610971165,    0.003196287072,   -0.001800649366,    -0.01867693775,                 0,                 0,   -0.002425488452,    -0.06770102734
          1,           0,           2,      -4.751324385,      -2.538664932,      -3.314221896,      -2.508552593,      0.6523445541,      -9.200128054,      0.4215061369,      0.2830431996,  -0.0002842158844,      0.3079890876,    -0.08253645432,     -0.4109277509,      0.4061151409,  -0.0002842158844,      0.3047152255,      0.6715043385,    0.003458063478,                 0,    -0.02324058904,                 0,                 0,                 0,    -0.03441904426
          1,           0,           3,       -4.73920024,      -2.532573379,      -3.234814273,      -2.494890667,      0.6634293752,       -9.14191626,      0.4057188742,      0.2804816041,  -0.0001956882637,      0.3042325722,    -0.08130826375,     -0.3949445441,      0.3904835776,  -0.0001956882637,      0.3013308991,      0.6913200789,    0.003660667217,                 0,    -0.01714903594,                 0,                 0,                 0,                 0
          1,           0,           4,      -4.735433464,      -2.531836493,      -3.120442224,      -2.495808695,      0.6659656077,      -9.228528783,      0.3961307295,       0.279131367,  -0.0001459471458,      0.3021552985,    -0.08073611443,     -0.3852268361,      0.3809792391,  -0.0001459471458,      0.2994807076,      0.7046445684,    0.003668128798,                 0,    -0.01641215034,                 0,  -0.0009180283356,                 0,    -0.08661252248
