VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          0,           0,           0,      -2.616830613,      -11.49572165,      -11.58672838,       2.853171207,       4.132499605,       8.338844889,       2.404092342,   5.741320392e-05,                 0,                 0,                 0,  -3.070619058e-05,       2.404092342,   5.741320392e-05,                 0,   2.388144703e-05,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -3.085573253,     -0.5436468048,     -0.4941466776,       2.389532314,       3.444512417,       7.644593308,       1.916848127,   5.953318129e-05,                 0,                 0,                 0,  -1.828790475e-05,       1.916848127,   5.953318129e-05,                 0,   3.105784984e-05,              -nan,     -0.4687426404,                 0,                 0,     -0.4636388938,     -0.6879871879,     -0.6942515807
          0,           0,           2,       -3.18406495,     -0.8206321467,     -0.8784988363,       2.292725597,       2.527357986,       6.710372368,        1.61989359,   4.405657906e-05,                 0,                 0,                 0,  -3.491119291e-06,        1.61989359,   4.405657906e-05,                 0,   2.719720562e-05,              -nan,     -0.5672343369,      -0.276985342,     -0.3843521587,     -0.5604456104,      -1.605141619,       -1.62847252
          0,           0,           3,      -3.317671544,     -0.9148924139,     -0.9575226366,        2.15717775,       1.007855367,       5.196277543,       1.511066677,   2.921151484e-05,                 0,                 0,                 0,   6.943691442e-06,       1.511066677,   2.921151484e-05,                 0,   1.933171798e-05,              -nan,     -0.7008409307,     -0.3712456092,     -0.4633759589,     -0.6959934575,      -3.124644238,      -3.142567346
          0,           0,           4,      -3.405456476,     -0.9521622515,     -0.9689015716,       2.067226222,     -0.9164829176,       4.612520261,       1.472663867,   1.570126142e-05,                 0,                 0,                 0,   1.333868761e-05,       1.472663867,   1.570126142e-05,                 0,   1.066180938e-05,              -nan,     -0.7886258633,     -0.4085154467,      -0.474754894,      -0.785944985,      -5.048982522,      -3.726324628
          1,           0,           0,      -3.214055689,     -0.7485977135,     -0.7209391916,       2.248261888,       3.396565858,       7.625675903,       1.448263816,      0.6901231665,                 0,                 0,                 0,      0.3828571779,       1.448263816,      0.6901231665,                 0,      0.4765175785,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           1,      -3.381692374,     -0.9079448111,     -0.8664392939,       2.090344541,       2.708247021,        6.92491347,       1.420015839,      0.5769889141,                 0,                 0,                 0,      0.3175805465,       1.420015839,      0.5769889141,                 0,      0.4063256888,              -nan,     -0.1676366848,     -0.1593470976,     -0.1455001023,     -0.1579173471,     -0.6883188367,     -0.7007624333
          1,           0,           2,      -3.372343548,     -0.9022022834,       -0.84351904,       2.103530098,       1.787006261,        5.97611603,       1.385177244,      0.4680877033,                 0,                 0,                 0,      0.2564615373,       1.385177244,      0.4680877033,                 0,      0.3379262151,              -nan,      -0.158287859,       -0.15360457,     -0.1225798484,     -0.1447317903,      -1.609559597,      -1.649559873
          1,           0,           3,      -3.334852233,     -0.8587604631,     -0.7783821666,       2.145301148,      0.3382285386,       4.514036318,       1.342769207,      0.4252995728,                 0,                 0,                 0,      0.2324560176,       1.342769207,      0.4252995728,                 0,      0.3167331888,              -nan,     -0.1207965434,     -0.1101627496,    -0.05744297505,     -0.1029607398,      -3.058337319,      -3.111639585
          1,           0,           4,      -3.303901972,     -0.8168648134,     -0.7234350508,       2.180652803,      -1.158410339,       3.840678644,       1.292627783,      0.4151813863,                 0,                 0,                 0,      0.2266502341,       1.292627783,      0.4151813863,                 0,       0.321191755,              -nan,    -0.08984628272,    -0.06826709997,   -0.002495859233,     -0.0676090846,      -4.554976197,      -3.784997259
          1,           0,           0,       -3.29438924,     -0.7929400535,     -0.6934474173,       2.194635931,      -1.521443657,       3.739016282,       1.234884285,      0.4136699601,                 0,                 0,                 0,      0.2256046834,       1.234884285,      0.4136699601,                 0,      0.3349868202,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           1,      -3.311822031,     -0.7940166418,     -0.6933425118,       2.181904946,      -1.672863648,       3.663300933,       1.170008056,      0.4136396444,                 0,                 0,                 0,      0.2253252381,       1.170008056,      0.4136396444,                 0,      0.3535357233,              -nan,    -0.01743279099,   -0.001076588331,                 0,    -0.01273098436,     -0.1514199912,    -0.07571534908
          1,           0,           2,      -3.356966253,     -0.8223098429,      -0.724650192,       2.141756476,       -1.77970421,        3.60175311,       1.098799301,      0.4133092636,                 0,                 0,                 0,      0.2247929414,       1.098799301,      0.4133092636,                 0,      0.3761462745,              -nan,    -0.06257701358,    -0.02936978943,    -0.03130768023,    -0.05287945492,     -0.2582605527,     -0.1372631717
