VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          0,           0,           0,     -0.7835352926,       1.622236535,       1.800846539,       4.618845686,       1.292103424,       4.793272455,     0.05336568005,      0.7494964703,                 0,                 0,                 0,      0.1317684711,   0.0009534530831,      0.7513933362,                 0,       14.04454079,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -1.275414071,       1.069132883,       1.363557437,       4.116529664,       1.167300973,       4.739917257,      0.0548208952,      0.7544261645,                 0,                 0,                 0,      0.1353418107,    0.002061245313,      0.7564125327,                 0,       13.76165351,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,       -1.39172852,       0.993984205,       1.249608848,       4.015010731,     0.09279062991,       3.896186396,     0.05611187691,        0.75871316,                 0,                 0,                 0,      0.1384450212,    0.003050036574,      0.7607791396,                 0,       13.52143613,              -nan,     -0.1163144495,    -0.07514867787,     -0.1139485891,     -0.1015189338,      -1.074510343,     -0.8437308608
          0,           0,           3,      -1.460648061,      0.9548557428,        1.19608683,       3.953214664,    -0.08111322546,       3.972626865,     0.05723633415,      0.7623443432,                 0,                 0,                 0,       0.141069469,    0.003918456155,      0.7644799155,                 0,       13.31923776,              -nan,     -0.1852339909,       -0.11427714,      -0.167470607,         -0.163315,      -1.248414199,     -0.7672903922
          0,           0,           4,      -1.522256625,      0.9276782506,       1.148917501,       3.900577796,     -0.4356173836,       3.899709482,      0.0582448028,      0.7655206715,                 0,                 0,                 0,      0.1433602758,    0.004702898763,      0.7677188537,                 0,       13.14315844,              -nan,     -0.2468425545,     -0.1414546322,     -0.2146399365,      -0.215951868,      -1.602918357,     -0.8402077751
          0,           0,           5,      -1.567558138,      0.9029824152,       1.118111229,       3.860329381,     -0.3398516042,       3.852338057,     0.05913000236,      0.7682723695,                 0,                 0,                 0,      0.1453373386,    0.005393993277,       0.770525597,                 0,       12.99293656,              -nan,     -0.2921440679,     -0.1661504676,     -0.2454462087,     -0.2562002833,      -1.507152577,     -0.8875792002
          0,           0,           6,      -1.607316452,      0.8817458176,       1.096839536,       3.824034512,     -0.2668286828,       3.877793173,     0.05984747188,      0.7705121983,                 0,                 0,                 0,      0.1469346817,     0.00595347251,      0.7728100179,                 0,       12.87459895,              -nan,     -0.3319023815,     -0.1873870652,     -0.2667179011,     -0.2924951525,      -1.434129656,     -0.8621240843
          0,           0,           7,      -1.648600709,       0.862450688,       1.079781592,       3.786717832,     -0.2594288299,       3.908147565,     0.06036641829,      0.7721886539,                 0,                 0,                 0,      0.1481121926,     0.00635421117,      0.7745185897,                 0,        12.7916924,              -nan,     -0.3731866389,     -0.2066821949,     -0.2837758452,     -0.3298118322,      -1.426729803,     -0.8317696921
          0,           0,           8,      -1.695203932,      0.8435620028,       1.065529066,       3.745283701,     -0.2653294867,       3.888607548,     0.06069536351,      0.7733629672,                 0,                 0,                 0,      0.1489114848,    0.006600439138,      0.7757129884,                 0,       12.74171407,              -nan,     -0.4197898613,       -0.22557088,     -0.2980283712,     -0.3712459636,       -1.43263046,     -0.8513097091
          0,           0,           9,      -1.752176535,      0.8242912508,       1.053619498,       3.695921346,     -0.2713638782,       3.803757512,     0.06087819141,      0.7741965226,                 0,                 0,                 0,       0.149445846,    0.006724675792,      0.7765572668,                 0,       12.71714065,              -nan,      -0.476762464,      -0.244841632,       -0.30993794,     -0.4206083186,      -1.438664851,     -0.9361597447
          0,           0,          10,      -1.823609805,      0.8052380905,       1.043174017,       3.636630426,     -0.2739109592,       3.667079705,     0.06097539311,      0.7748970704,                 0,                 0,                 0,      0.1498591908,    0.006772772977,      0.7772628885,                 0,       12.70835711,              -nan,     -0.5481957344,     -0.2638947923,     -0.3203834207,     -0.4798992385,      -1.441211932,      -1.072837552
          0,           0,          11,      -1.904690145,      0.7890392479,       1.032308666,        3.57351778,     -0.2944206599,       3.531258572,     0.06104562009,      0.7756696108,                 0,                 0,                 0,      0.1502874375,    0.006788939184,      0.7780384458,                 0,       12.70639253,              -nan,     -0.6292760746,      -0.280093635,     -0.3312487713,     -0.5430118845,      -1.461721633,      -1.208658685
          0,           0,          12,      -1.966361775,      0.7793218935,       1.018302833,       3.528572002,     -0.3359754479,       3.473760855,     0.06113558082,      0.7766941125,                 0,                 0,                 0,      0.1508387222,    0.006807215157,      0.7790667272,                 0,       12.70445299,              -nan,     -0.6909477049,     -0.2898109894,     -0.3452546048,     -0.5879576628,      -1.503276421,      -1.266156402
          0,           0,          13,       -1.96502999,       0.777439413,      0.9985702096,       3.528091392,     -0.3508997938,       3.482795449,     0.06127837619,      0.7781289276,                 0,                 0,                 0,      0.1515919854,    0.006849575043,      0.7805080081,                 0,       12.69826284,              -nan,      -0.689615919,     -0.2916934699,     -0.3649872279,      -0.588438272,      -1.518200767,      -1.257121808
          0,           0,          14,      -1.911634034,      0.7800236261,      0.9717932495,       3.565118985,     -0.3664842343,       3.502099469,     0.06149693273,      0.7801278642,                 0,                 0,                 0,      0.1526056428,    0.006928160412,      0.7825173211,                 0,       12.68563861,              -nan,     -0.6362199631,     -0.2891092567,     -0.3917641879,     -0.5514106794,      -1.533785207,      -1.237817788
          0,           0,          15,      -1.854450691,      0.7805409069,      0.9386315959,       3.608080708,     -0.3844071207,       3.523329252,     0.06180855354,      0.7828589555,                 0,                 0,                 0,      0.1539281583,    0.007048510837,      0.7852634972,                 0,        12.6658676,              -nan,     -0.5790366207,     -0.2885919759,     -0.4249258416,     -0.5084489565,      -1.551708094,      -1.216588005
          0,           0,          16,      -1.818092324,      0.7728851857,      0.9017390025,       3.636329197,      -0.404749794,       3.542512477,     0.06222836568,      0.7865173061,                 0,                 0,                 0,      0.1556056193,    0.007212106696,      0.7889422208,                 0,       12.63920878,              -nan,     -0.5426782536,     -0.2962476971,      -0.461818435,     -0.4802004672,      -1.572050767,       -1.19740478
          0,           0,          17,       -1.80711418,      0.7534565452,      0.8649400937,        3.64365609,     -0.4273880719,        3.57019054,      0.0627713974,      0.7913301089,                 0,                 0,                 0,      0.1576856104,    0.007418091459,      0.7937811799,                 0,       12.60653963,              -nan,     -0.5317001095,     -0.3156763377,     -0.4986173438,     -0.4728735749,      -1.594689045,      -1.169726717
          0,           0,          18,      -1.819126525,      0.7212881837,      0.8316235515,       3.630696552,     -0.4520998381,       3.595145159,     0.06345290682,         0.7975524,                 0,                 0,                 0,      0.1602167578,    0.007663895675,      0.8000358535,                 0,       12.56920195,              -nan,     -0.5437124545,     -0.3478446991,      -0.531933886,     -0.4858331129,      -1.619400811,      -1.144772099
          0,           0,          19,      -1.849543304,      0.6774132675,      0.8032181441,       3.600770837,     -0.4786790701,       3.610195241,     0.06428789196,       0.805456367,                 0,                 0,                 0,      0.1632462185,     0.00794549397,      0.8079788124,                 0,       12.52889685,              -nan,     -0.5741292333,     -0.3917196154,     -0.5603392933,     -0.5157588278,      -1.645980043,      -1.129722016
          0,           0,          20,       -1.89280221,      0.6241642393,      0.7789347756,       3.558332682,     -0.5070133642,       3.631951639,     0.06529014653,       0.815315572,                 0,                 0,                 0,      0.1668158464,    0.008257563718,      0.8178839147,                 0,       12.48757455,              -nan,     -0.6173881391,     -0.4449686436,     -0.5846226619,      -0.558196982,      -1.674314337,      -1.107965618
          0,           0,          21,       -1.94292499,      0.5645263878,      0.7567990411,       3.508167566,     -0.5371108669,       3.651595316,      0.0664712345,       0.827386344,                 0,                 0,                 0,      0.1709580302,    0.008593760138,      0.8300076713,                 0,       12.44728415,              -nan,     -0.6675109196,      -0.504606495,     -0.6067583964,      -0.608362098,       -1.70441184,      -1.088321941
          0,           0,          22,      -1.994409959,      0.5015743247,      0.7348298156,       3.454539319,     -0.5690816651,       3.668703014,     0.06783955835,      0.8418884779,                 0,                 0,                 0,      0.1756918301,     0.00894713309,      0.8445699283,                 0,        12.4099935,              -nan,     -0.7189958885,     -0.5675585581,     -0.6287276219,     -0.6619903456,      -1.736382638,      -1.071214243
          0,           0,          23,      -2.043424709,      0.4381716759,      0.7115728246,       3.400282115,     -0.6030688011,       3.693854342,     0.06939948944,      0.8589874485,                 0,                 0,                 0,      0.1810199965,    0.009310500377,      0.8617360619,                 0,       12.37743181,              -nan,     -0.7680106381,     -0.6309612069,     -0.6519846128,      -0.716247549,      -1.770369774,      -1.046062915
          0,           0,          24,      -2.088499412,       0.377155146,      0.6860944397,       3.346338488,     -0.6391611389,         3.7292638,     0.07115075489,      0.8787797017,                 0,                 0,                 0,      0.1869271162,    0.009676862036,      0.8816022643,                 0,       12.35095401,              -nan,     -0.8130853411,     -0.6919777369,     -0.6774629977,     -0.7701911769,      -1.806462112,      -1.010653457
          0,           0,          25,      -2.130090457,        0.32185155,      0.6578392308,        3.29209739,     -0.6773022923,       3.778790679,     0.07308796837,      0.9012821523,                 0,                 0,                 0,      0.1933790439,     0.01003966496,      0.9041850332,                 0,       12.33147086,              -nan,     -0.8546763868,     -0.7472813329,     -0.7057182066,     -0.8244322741,      -1.844603266,     -0.9611265782
          0,           0,          26,      -2.169419328,      0.2761612349,      0.6265774266,       3.236274961,      -0.717240469,       3.843807728,     0.07520036162,      0.9264261144,                 0,                 0,                 0,      0.2003234669,      0.0103929584,       0.929415099,                 0,       12.31943696,              -nan,     -0.8940052575,      -0.792971648,     -0.7369800109,     -0.8802547031,      -1.884541442,     -0.8961095287
