Time	Time Iteration	FSI Iteration	q1	qdot1	qddot1	q2	qdot2	qddot2
0	0	1	0	0	0	0	-0.877298169	0
0.001	1	1	0	0	0	-0.000876929	-0.876190103	2.215664684
0.002	2	1	0	0	0	-0.001751642	-0.872868705	4.425732407
0.003	3	1	0	0	0	-0.002621931	-0.867342365	6.624620346
0.004	4	1	0	0	0	-0.003485597	-0.859625043	8.806773919
0.005	5	1	0	0	0	-0.004340457	-0.849736234	10.96668082
0.006	6	1	0	0	0	-0.005184354	-0.837700917	13.09888493
0.007	7	1	0	0	0	-0.006015154	-0.823549494	15.19800012
0.008	8	1	0	0	0	-0.006830759	-0.807317715	17.25872384
0.009	9	1	0	0	0	-0.007629109	-0.78904658	19.27585053
0.01	10	1	0	0	0	-0.008408188	-0.768782246	21.24428474
0.011	11	1	0	0	0	-0.009166026	-0.746575901	23.15905405
0.012	12	1	0	0	0	-0.009900711	-0.72248364	25.01532158
0.013	13	1	0	0	0	-0.010610385	-0.696566323	26.80839824
0.014	14	1	0	0	0	-0.011293257	-0.668889419	28.53375456
0.015	15	1	0	0	0	-0.011947601	-0.639522842	30.18703213
0.016	16	1	0	0	0	-0.012571764	-0.608540775	31.76405464
0.017	17	1	0	0	0	-0.01316417	-0.576021481	33.2608384
0.018	18	1	0	0	0	-0.013723322	-0.542047107	34.67360239
0.019	19	1	0	0	0	-0.014247808	-0.506703475	35.99877785
0.02	20	1	0	0	0	-0.014736302	-0.470079866	37.23301727
0.021	21	1	0	0	0	-0.015187572	-0.432268795	38.37320286
0.022	22	1	0	0	0	-0.015600476	-0.393365774	39.41645441
0.023	23	1	0	0	0	-0.015973972	-0.353469078	40.36013657
0.024	24	1	0	0	0	-0.016307116	-0.312679489	41.20186553
0.025	25	1	0	0	0	-0.016599068	-0.271100043	41.939515
0.026	26	1	0	0	0	-0.016849088	-0.228835776	42.57122161
0.027	27	1	0	0	0	-0.017056546	-0.185993449	43.09538963
0.028	28	1	0	0	0	-0.017220918	-0.142681287	43.51069494
0.029	29	1	0	0	0	-0.017341789	-0.0990087	43.81608847
0.03	30	1	0	0	0	-0.017418852	-0.055086008	44.01079876
0.031	31	1	0	0	0	-0.017451914	-0.011024164	44.09433394
0.032	32	0	0	0	0	-0.017440891	0.033065528	44.06648302
0.033	33	0	0	0	0	-0.017385811	0.077071694	43.92731633
0.034	34	1	0	0	0	-0.017286813	0.12088317	43.67718543
0.035	35	1	0	0	0	-0.017144147	0.164389284	43.31672217
0.036	36	1	0	0	0	-0.016958173	0.207480137	42.84683711
0.037	37	1	0	0	0	-0.016729361	0.250046877	42.26871722
0.038	38	1	0	0	0	-0.01645829	0.291981977	41.58382288
0.039	39	1	0	0	0	-0.016145643	0.333179505	40.7938842
0.04	40	1	0	0	0	-0.015792211	0.373535393	39.90089662
0.041	41	1	0	0	0	-0.015398887	0.412947698	38.90711592
0.042	42	1	0	0	0	-0.014966664	0.451316861	37.81505246
0.043	43	1	0	0	0	-0.014496633	0.488545959	36.6274649
0.044	44	1	0	0	0	-0.013989983	0.524540947	35.34735319
0.045	45	1	0	0	0	-0.013447993	0.559210899	33.97795099
0.046	46	1	0	0	0	-0.012872032	0.592468236	32.52271754
0.047	47	1	0	0	0	-0.012263555	0.624228947	30.98532889
0.048	48	1	0	0	0	-0.0116241	0.654412801	29.3696686
0.049	49	1	0	0	0	-0.010955281	0.682943552	27.67981798
0.05	50	1	0	0	0	-0.010258788	0.709749128	25.92004574
0.051	51	1	0	0	0	-0.00953638	0.734761816	24.09479721
0.052	52	1	0	0	0	-0.008789883	0.757918432	22.20868314
0.053	53	1	0	0	0	-0.008021182	0.77916048	20.266468
0.054	54	1	0	0	0	-0.007232218	0.798434302	18.27305801
0.055	55	1	0	0	0	-0.006424986	0.815691209	16.23348869
0.056	56	1	0	0	0	-0.005601523	0.830887609	14.15291216
0.057	57	1	0	0	0	-0.00476391	0.843985115	12.03658415
0.058	58	1	0	0	0	-0.003914263	0.854950641	9.889850688
0.059	59	1	0	0	0	-0.003054729	0.863756488	7.718134602
0.06	60	1	0	0	0	-0.002187478	0.870380411	5.526921838
0.061	61	1	0	0	0	-0.001314701	0.874805677	3.321747589
0.062	62	1	0	0	0	-0.000438603	0.877021109	1.108182318
0.063	63	1	0	0	0	0.000438603	0.877021109	-1.108182318
0.064	64	1	0	0	0	0.001314701	0.874805677	-3.321747589
0.065	65	1	0	0	0	0.002187478	0.870380411	-5.526921838
0.066	66	1	0	0	0	0.003054729	0.863756488	-7.718134602
0.067	67	1	0	0	0	0.003914263	0.854950641	-9.889850688
0.068	68	1	0	0	0	0.00476391	0.843985115	-12.03658415
0.069	69	1	0	0	0	0.005601523	0.830887609	-14.15291216
0.07	70	1	0	0	0	0.006424986	0.815691209	-16.23348869
0.071	71	1	0	0	0	0.007232218	0.798434302	-18.27305801
0.072	72	1	0	0	0	0.008021182	0.77916048	-20.266468
0.073	73	1	0	0	0	0.008789883	0.757918432	-22.20868314
0.074	74	1	0	0	0	0.00953638	0.734761816	-24.09479721
0.075	75	1	0	0	0	0.010258788	0.709749128	-25.92004574
0.076	76	1	0	0	0	0.010955281	0.682943552	-27.67981798
0.077	77	1	0	0	0	0.0116241	0.654412801	-29.3696686
0.078	78	1	0	0	0	0.012263555	0.624228947	-30.98532889
0.079	79	1	0	0	0	0.012872032	0.592468236	-32.52271754
