VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          0,           0,           0,      -3.314368096,      -11.89320992,      -11.88797851,       2.154978222,       2.102303985,       5.895611907,       5.050140628,       5.982287718,                 0,                 0,                 0,       1.577970575,       4.730130837,        6.23839314,                 0,       1.184578442,      0.0016463596,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -3.791805419,       -1.23300828,      -1.238703423,       1.680569302,       1.527769745,       5.486989108,       4.705433284,       5.698496359,                 0,                 0,                 0,       1.504346722,       4.400748396,       5.936950118,                 0,       1.211046043,      0.0016463596,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -3.904913525,      -1.458730639,      -1.532206833,       1.570300628,      0.9766596064,       5.114670356,       3.960069548,       4.675409026,                 0,                 0,                 0,       1.233643257,       3.709950408,       4.876255567,                 0,        1.18063811,      0.0016463596,     -0.1131081065,     -0.2257223596,     -0.2935034098,     -0.1102686739,      -0.551110139,     -0.3723187516
          0,           0,           3,       -4.00204718,      -1.581676045,      -1.671154014,       1.472193729,      0.4636814368,        4.72766364,       3.596537755,       4.173993723,                 0,                 0,                 0,       1.098919014,       3.373158872,       4.356501652,                 0,       1.160558851,      0.0016463596,     -0.2102417612,     -0.3486677648,     -0.4324505912,     -0.2083755727,      -1.064088309,     -0.7593254671
          0,           0,           4,      -4.091962081,      -1.624482797,      -1.666929094,       1.380730555,    0.005345412136,       4.386809988,       3.453804809,       4.024143342,                 0,                 0,                 0,       1.057803858,         3.2384641,        4.19938657,                 0,       1.165133401,      0.0016463596,     -0.3001566621,     -0.3914745169,     -0.4282256704,      -0.299838747,      -1.522424333,      -1.100179119
          0,           0,           0,      -4.053174904,      -1.634235565,      -1.645791363,       1.418003178,     -0.3867523774,       4.149802022,       3.218637719,        1.64698128,                 0,                 0,                 0,     -0.9908427677,       3.128030347,       1.813174632,                 0,      0.5117013544,    0.001928594033,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.102333292,      -1.591724511,      -1.553659561,       1.370881272,     -0.7124033791,       3.931803982,       3.140666448,       1.522481638,                 0,                 0,                 0,      -0.985440705,       3.056681741,       1.684764911,                 0,      0.4847638752,    0.002048815707,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -4.056919026,      -1.492364693,      -1.429493076,       1.419653874,     -0.9799134406,       3.769745877,       3.056257625,       1.720202825,                 0,                 0,                 0,     -0.8936088584,        2.96204067,       1.877797512,                 0,       0.562846146,    0.002048815707,                 0,                 0,                 0,                 0,     -0.2675100615,     -0.1620581043
          0,           0,           3,      -4.003205233,      -1.361842049,      -1.286968472,       1.476793906,      -1.200695815,       3.616234268,       2.954592648,       1.800668679,                 0,                 0,                 0,      -0.824896809,       2.856303764,       1.952832357,                 0,      0.6094473565,    0.002048815707,                 0,                 0,                 0,                 0,     -0.4882924362,     -0.3155697141
          0,           0,           4,      -3.972664984,      -1.236875995,      -1.160840403,       1.510315102,      -1.385247544,       3.497985765,       2.833867494,        1.80233366,                 0,                 0,                 0,     -0.7686816814,       2.735656921,       1.948176789,                 0,      0.6359978593,    0.002048815707,                 0,                 0,                 0,                 0,      -0.672844165,     -0.4338182168
          0,           0,           0,      -3.929886084,      -1.136148436,       -1.06295221,       1.552784931,      -1.517566682,       3.557635877,        2.74472013,     0.08249042103,                 0,                 0,                 0,      -3.722799391,       2.736641371,      0.2260249234,                 0,     0.03005421942,     0.00233692546,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.026177825,      -1.066356196,     -0.9985493769,       1.460757297,      -1.673464348,       3.733959822,       2.586534152,    -0.09388822382,                 0,                 0,                 0,      -3.549033136,       2.587903127,     0.04160918492,                 0,    -0.03629885333,     0.00233692546,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -4.121202804,      -1.035167186,     -0.9706780398,       1.364284644,      -1.793821699,       3.472003667,       2.394152782,    -0.03360099994,                 0,                 0,                 0,      -3.261993141,       2.392630219,     0.09174532427,                 0,    -0.01403460974,    0.002384252671,    -0.09502497921,                 0,                 0,    -0.09647265311,     -0.1203573517,      -0.261956155
          0,           0,           3,      -4.127923097,      -1.043327949,     -0.9795112613,       1.348171872,      -1.898179974,        3.24617023,       2.176167893,    -0.05493884824,                 0,                 0,                 0,      -2.964368114,       2.176060808,     0.05902827117,                 0,    -0.02524568459,    0.002384252671,     -0.1017452724,   -0.008160762118,   -0.008833221486,     -0.1125854246,     -0.2247156262,     -0.4877895927
          0,           0,           4,      -4.026458156,      -1.092945177,       -1.02707995,       1.446960702,      -1.991069167,       3.124639004,       1.930489469,     -0.1475310451,                 0,                 0,                 0,      -2.651153225,       1.935564978,    -0.04629484657,                 0,    -0.07642157468,    0.002384252671,  -0.0002803314731,    -0.05777799069,    -0.05640191029,    -0.01379659467,      -0.317604819,     -0.6093208182
          0,           0,           0,      -3.888913675,      -1.189077001,      -1.117232577,       1.586469627,      -2.022381599,        3.31328517,       1.747299507,       1.277429927,                 0,                 0,                 0,      -2.606593463,       1.678049377,       1.367125844,                 0,      0.7310881287,     0.00199827336,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -3.863841023,      -1.335409089,      -1.252206675,       1.615856183,      -2.144954508,       3.431211293,       1.445742891,       1.271480148,                 0,                 0,                 0,      -2.063038127,       1.377217421,       1.345401965,                 0,      0.8794649143,     0.00199827336,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,       -3.86011107,      -1.523629504,       -1.41931995,       1.623092109,       -2.21888671,       3.159727461,       1.108665394,      0.9762110891,                 0,                 0,                 0,      -1.564099854,       1.056055066,       1.032896289,                 0,      0.8805281504,     0.00199827336,                 0,     -0.1882204152,     -0.1671132757,                 0,    -0.07393220208,     -0.2714838316
          0,           0,           3,      -3.889324816,      -1.608568102,      -1.516101067,        1.59672583,      -2.282891089,       2.963030986,      0.7534353582,      0.6726298964,                 0,                 0,                 0,      -1.038318042,      0.7172000724,      0.7111398405,                 0,      0.8927506377,     0.00199827336,    -0.02921374634,     -0.2731590127,     -0.2638943921,    -0.02636627886,     -0.1379365814,     -0.4681803066
          0,           0,           4,      -3.947168754,      -1.514444996,      -1.461770373,       1.540869397,      -2.341531577,       2.894526865,      0.3890339048,      0.3579513755,                 0,                 0,                 0,     -0.5030583286,      0.3697670198,       0.377821277,                 0,      0.9201032894,     0.00199827336,    -0.08705768479,     -0.1790359069,      -0.209563698,    -0.08222271188,     -0.1965770692,     -0.5366844283
          0,           0,           0,      -3.952956245,      -1.420272361,      -1.381014765,       1.531978035,      -2.172521608,       3.227097077,     0.01226647438,       1.199049696,                 0,                 0,                 0,      0.3882242194,    -0.05050374884,       1.198048418,                 0,       97.75014884,    0.001736849099,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,       -4.07474307,       -1.37134739,      -1.337752621,       1.411703099,       -2.41660323,       3.415063226,      -0.333110352,      0.9850254563,                 0,                 0,                 0,      0.7379383773,      -0.384206085,      0.9662418643,                 0,      -2.957054473,    0.001736849099,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -4.128869242,      -1.369538525,      -1.337245425,       1.352975302,      -2.490389027,       3.154131239,     -0.6546083837,      0.5703949847,                 0,                 0,                 0,      0.9963319126,     -0.6835634326,      0.5353537225,                 0,     -0.8713530088,    0.001736849099,    -0.05412617211,                 0,                 0,    -0.05872779764,    -0.07378579698,     -0.2609319873
          0,           0,           3,      -4.145146551,      -1.390561079,      -1.360609558,       1.333476821,      -2.537274632,       2.934959607,     -0.9354183351,      0.1906429444,                 0,                 0,                 0,       1.211706558,     -0.9441138576,      0.1414256618,                 0,     -0.2038050113,    0.001736849099,    -0.07040348136,    -0.02102255425,    -0.02336413354,     -0.0782262786,     -0.1206714018,     -0.4801036191
          0,           0,           4,      -4.159960576,      -1.418902272,      -1.392284187,       1.318868129,       -2.57911077,       2.835790192,      -1.164654285,     -0.1264484249,                 0,                 0,                 0,       1.380075879,      -1.156440368,     -0.1872284275,                 0,      0.1085716393,    0.001736849099,      -0.085217506,    -0.04936374722,    -0.05503876201,    -0.09283496985,     -0.1625075402,     -0.5792730348
          0,           0,           0,      -4.016789661,      -1.444441891,      -1.415084458,       1.458780901,      -2.047386352,       3.423600162,      -1.304990532,    -0.07848667634,                 0,                 0,                 0,      0.4120828473,      -1.299094412,     -0.1466770404,                 0,     0.06014348337,    0.001938033467,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,       -4.15335317,      -1.442438724,      -1.408026436,       1.327839211,      -2.506144485,       3.636029945,       -1.40200899,     -0.2031430213,                 0,                 0,                 0,      0.3911962003,      -1.389455902,     -0.2762401021,                 0,      0.1448942358,    0.001938033467,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -4.214483822,      -1.442306657,      -1.394434639,        1.27019365,      -2.669965928,        3.29870905,      -1.438252102,     -0.2869236362,                 0,                 0,                 0,      0.3674972346,      -1.421264605,     -0.3618027164,                 0,      0.1994946754,    0.001938033467,    -0.06113065223,                 0,                 0,    -0.05764556036,     -0.1638214433,     -0.3373208958
          0,           0,           3,      -4.245795327,      -1.433298308,      -1.370134539,       1.240628037,       -2.71947492,       2.986941794,      -1.416876716,     -0.2747791266,                 0,                 0,                 0,      0.3482875754,      -1.400554108,     -0.3485561492,                 0,      0.1939329819,    0.001938033467,    -0.09244215703,                 0,                 0,    -0.08721117351,     -0.2133304348,     -0.6490881517
          0,           0,           4,      -4.294664481,      -1.415608481,      -1.341061778,       1.193202094,      -2.753065036,       2.762002309,      -1.344549737,     -0.1715700885,                 0,                 0,                 0,       0.335549833,      -1.333727794,     -0.2417032539,                 0,      0.1276041219,    0.001938033467,     -0.1413113108,                 0,                 0,     -0.1346371168,      -0.246920551,     -0.8740276362
          0,           0,           0,      -4.194782066,      -1.406634695,      -1.318591634,       1.280805079,      -2.240096235,       3.282484789,      -1.101235597,       1.168922727,                 0,                 0,                 0,    -0.05872424014,      -1.160903081,       1.109686541,                 0,      -1.061464713,     0.00195795606,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.313013746,      -1.400232221,      -1.300416695,        1.16677088,      -2.680618996,       3.434760904,      -0.940534875,       1.575005108,                 0,                 0,                 0,     0.05115962284,      -1.021675303,       1.523622826,                 0,      -1.674584484,    0.002295616644,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -4.356460686,      -1.404203668,      -1.292353099,       1.125856665,      -2.822452392,       3.108728137,     -0.7700865313,       1.790938302,                 0,                 0,                 0,      0.1263328019,      -0.862761623,       1.748180668,                 0,      -2.325632548,    0.002295616644,    -0.04344693914,   -0.003971447306,                 0,    -0.04091421539,     -0.1418333963,     -0.3260327665
          0,           0,           3,      -4.365334925,      -1.416732274,      -1.292812908,       1.117472387,       -2.86270335,       2.795178505,     -0.5866734387,       2.003540856,                 0,                 0,                 0,      0.2067989964,     -0.6907266497,       1.970090958,                 0,      -3.415087038,    0.001958294298,    -0.05232117845,    -0.01650005342,  -0.0004598087788,    -0.04929849273,     -0.1820843539,     -0.6395823986
          0,           0,           4,      -4.370578291,      -1.436270425,      -1.300972729,       1.111840722,      -2.890067926,        2.57200288,     -0.3974763246,       2.205155361,                 0,                 0,                 0,      0.2888561331,     -0.5123405116,       2.181330969,                 0,      -5.547891093,    0.001958294298,    -0.05756454404,    -0.03603820437,   -0.008619629498,    -0.05493015792,     -0.2094489298,     -0.8627580235
          0,           0,           0,      -4.361170636,      -1.462632195,      -1.316695837,       1.120640546,      -2.746774601,       2.648672041,      -0.242570188,       2.131190062,                 0,                 0,                 0,      0.3568166399,     -0.3537756238,       2.115574197,                 0,      -8.785869688,    0.001942512366,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.359059068,      -1.498136793,      -1.339607829,       1.121318132,      -2.921855142,       2.840483951,     -0.0619080984,       2.190277284,                 0,                 0,                 0,        0.38823473,     -0.1764535116,       2.184035566,                 0,      -35.37949543,    0.001942512366,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -4.336433904,       -1.53781122,      -1.370188837,       1.142289578,      -2.960790111,       2.616980171,       0.110789709,       2.228067698,                 0,                 0,                 0,      0.4152280525,   -0.005970178026,       2.230812495,                 0,       20.11078212,    0.001942512366,                 0,    -0.03967442686,     -0.0305810074,                 0,    -0.03893496891,     -0.2235037797
          0,           0,           3,      -4.304946169,      -1.577409524,      -1.405806715,       1.173084025,      -2.984537377,       2.501347238,      0.2709560224,       2.202144507,                 0,                 0,                 0,      0.4280377852,       0.155333348,       2.213307287,                 0,       8.127313382,    0.001942512366,                 0,    -0.07927273167,    -0.06619888588,                 0,    -0.06268223516,     -0.3391367133
          0,           0,           4,      -4.272075862,      -1.609216411,      -1.442138328,        1.20623047,      -3.006382718,       2.457781604,      0.4168658248,       2.115775568,                 0,                 0,                 0,       0.427136632,      0.3055633871,       2.134693043,                 0,        5.07543541,    0.001942512366,                 0,     -0.1110796179,     -0.1025304988,                 0,    -0.08452757565,     -0.3827023469
          0,           0,           0,      -4.081055037,      -1.618858002,      -1.473261562,       1.393642038,      -2.124995669,        3.33091967,      0.4689335019,      0.4280221445,                 0,                 0,                 0,     -0.2518445281,      0.4458898966,      0.4519776382,                 0,      0.9127565908,    0.001976328829,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.180579719,      -1.609865799,      -1.470631241,       1.298751484,      -2.677431635,       3.569697926,      0.5965491819,    -0.03691095108,                 0,                 0,                 0,     -0.4450805769,      0.5976634019,   -0.005639394023,                 0,    -0.06187411231,    0.001976328829,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -4.205866294,      -1.577383438,      -1.476815733,       1.275143863,      -2.991635075,       3.260564274,      0.7111461667,     -0.2071042437,                 0,                 0,                 0,     -0.5504929507,      0.7210105642,     -0.1696018999,                 0,     -0.2912259862,    0.001976328829,    -0.02528657474,                 0,   -0.006184491385,    -0.02360762114,     -0.3142034408,     -0.3091336516
          0,           0,           3,      -4.221768068,      -1.546489048,      -1.477486989,       1.260115779,      -3.072542384,       2.931635038,      0.8075161891,     -0.3675190888,                 0,                 0,                 0,     -0.6401428905,      0.8256439792,     -0.3247532847,                 0,      -0.455122874,    0.001976328829,    -0.04118834894,                 0,   -0.006855747817,    -0.03863570442,     -0.3951107491,     -0.6380628879
