VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoW]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   
          0,           0,           0,       -4.06825507,      -5.382954794,      -5.252185718,      -9.755590848,        1.20309303,      -7.830437415,      0.3571101493,     0.02296994763,   -0.003554449064,     0.02095071066,    -0.04670387462,      -0.363669433,      0.3571101493,   -0.003554449064,     0.02296994763,     0.06432174406,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.507129087,      -2.204314307,      -3.730286831,      -2.389233106,      0.7640167965,      -8.219940911,      0.3892002317,    0.006216680791,  -0.0006365609953,    0.003868634512,     -0.0347027228,     -0.3956547083,      0.3892002317,  -0.0006365609953,    0.006216680791,     0.01597296272,              -nan,     -0.4388740171,                 0,                 0,                 0,     -0.4390762335,     -0.3895034964
          0,           0,           2,      -4.676059651,      -2.363958584,      -3.847985133,      -2.645252293,      0.5974338439,      -8.991794192,      0.4112896059,   0.0003831000243,   0.0001964228412,   -0.001807050731,    -0.02767086969,     -0.4176574236,      0.4112896059,   0.0001964228412,   0.0003831000243,   0.0009314605056,              -nan,     -0.6078045805,     -0.1596442776,     -0.1176983017,     -0.2560191869,      -0.605659186,      -1.161356777
          0,           0,           3,      -4.817329056,      -2.469902888,      -3.404604228,      -2.658784915,      0.4571722043,      -9.119772774,      0.4214614643,   0.0008047856726,   0.0005308635311,  -0.0009499134956,    -0.02629462943,     -0.4273837715,      0.4214614643,   0.0005308635311,   0.0008047856726,    0.001909511879,              -nan,     -0.7490739858,     -0.2655885819,                 0,     -0.2695518095,     -0.7459208257,       -1.28933536
          0,           0,           4,       -4.83109386,      -2.496249278,      -3.097456427,       -2.62409032,      0.4498230485,      -9.084862793,         0.3806153,    0.007388648137,    0.001508925736,    0.006154174523,    -0.02974796248,      -0.385443389,         0.3806153,    0.001508925736,    0.007388648137,     0.01941237816,              -nan,     -0.7628387903,     -0.2919349713,                 0,     -0.2348572143,     -0.7532699814,      -1.254425378
          0,           0,           0,      -4.821648209,      -2.544364324,      -3.024019859,      -2.629670507,      0.4653272266,      -9.246660087,      0.3538182153,     0.01156444432,    0.001991025811,     0.01058077386,    -0.03220761248,     -0.3578174827,      0.3538182153,    0.001991025811,     0.01156444432,     0.03268470593,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.875676538,      -2.642014533,      -3.200318158,      -2.710004874,      0.4080792045,      -9.111780181,      0.3157811187,       0.017977616,    0.002827569765,     0.01726002264,    -0.03625158296,     -0.3184881187,      0.3157811187,    0.002827569765,       0.017977616,     0.05693062358,              -nan,    -0.05402832965,    -0.09765020872,     -0.1762982996,    -0.08033436698,    -0.05724802208,                 0
          0,           0,           2,      -4.860354245,      -2.711246897,        -3.1419397,      -2.733776984,      0.4203373388,      -9.231171533,      0.2929662445,     0.02076140169,    0.003151036488,     0.02012346169,    -0.03801362692,     -0.2949359737,      0.2929662445,    0.003151036488,     0.02076140169,     0.07086619048,              -nan,    -0.03870603614,     -0.1668825728,     -0.1179198416,     -0.1041064763,     -0.0449898878,     -0.1193913524
          0,           0,           3,      -4.875972512,      -2.772500707,      -3.260732445,      -2.773183744,      0.3988141861,      -9.169552814,      0.2587746805,     0.02400972543,    0.003569023668,     0.02336770708,     -0.0400455559,     -0.2597746581,      0.2587746805,    0.003569023668,     0.02400972543,     0.09278235948,              -nan,    -0.05432430309,     -0.2281363835,     -0.2367125863,     -0.1435132369,     -0.0665130405,     -0.0577726335
          0,           0,           4,      -4.906698248,      -2.836454953,      -3.239540951,      -2.822832174,      0.3685591346,      -9.298498533,      0.2126533074,     0.02664410664,    0.003816582351,     0.02586446761,    -0.04156623494,     -0.2125964987,      0.2126533074,    0.003816582351,     0.02664410664,      0.1252936386,              -nan,    -0.08505003961,     -0.2920906288,     -0.2155210922,     -0.1931616663,    -0.09676809206,     -0.1867183522
          1,           0,           0,      -3.992291233,      -1.794788173,      -2.408805306,      -1.785998065,       1.273829167,      -8.435627285,      0.1860833007,     0.02741484506,    0.003864014388,     0.02657850262,    -0.04196648327,     -0.1855284574,      0.1860833007,    0.003864014388,     0.02741484506,      0.1473256598,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           1,      -4.187973393,      -2.051364486,      -2.509382413,      -1.970243146,       1.073425678,      -8.603008916,      0.1581197628,     0.03034569442,     0.00403705469,     0.02947738037,    -0.04367467996,     -0.1570248975,      0.1581197628,     0.00403705469,     0.03034569442,      0.1919158863,              -nan,     -0.1956821595,     -0.2565763132,     -0.1005771068,     -0.1842450807,     -0.2004034884,     -0.1673816306
