VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          0,           0,           0,      -2.772507176,      -12.20490747,      -12.39227123,       2.677135862,       4.847446533,       8.332062803,      0.5813530929,      -1.017067987,                 0,                 0,                 0,     -0.2839114846,      0.5813530929,      -1.017067987,                 0,      -1.749484091,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -3.032858099,     -0.6722085731,     -0.5739750485,       2.404779634,       4.207608591,       7.689219813,      0.7305819654,      -1.206446991,                 0,                 0,                 0,     -0.3254388585,      0.7305819654,      -1.206446991,                 0,      -1.651350633,              -nan,     -0.2603509228,                 0,                 0,     -0.2723562279,     -0.6398379422,     -0.6428429899
          0,           0,           2,      -3.317576333,     -0.8455188621,     -0.8213180652,       2.127447628,       3.458660373,       6.930270041,      0.7003237514,      -1.033890234,                 0,                 0,                 0,     -0.2706499313,      0.7003237514,      -1.033890234,                 0,      -1.476303255,              -nan,     -0.5450691573,      -0.173310289,     -0.2473430167,     -0.5496882346,       -1.38878616,      -1.401792762
          0,           0,           3,      -3.489544176,      -1.006929941,      -1.055583486,       1.963994679,       2.350253095,       5.801220953,      0.6600635855,     -0.9353421015,                 0,                 0,                 0,     -0.2395747686,      0.6600635855,     -0.9353421015,                 0,      -1.417048482,              -nan,         -0.717037,     -0.3347213678,     -0.4816084376,      -0.713141183,      -2.497193438,       -2.53084185
          0,           0,           4,      -3.557966104,       -1.08551431,      -1.118907008,       1.894671567,      0.4753534509,       4.647052489,      0.6368681368,     -0.9057424604,                 0,                 0,                 0,     -0.2302747358,      0.6368681368,     -0.9057424604,                 0,      -1.422182094,              -nan,     -0.7854589279,     -0.4133057368,     -0.5449319591,     -0.7824642954,      -4.372093082,      -3.685010314
          0,           0,           0,      -3.580854119,      -1.122496928,      -1.135036791,       1.870091165,     -0.8950943824,        4.25822378,       0.621299621,     -0.8946742402,                 0,                 0,                 0,     -0.2256781592,       0.621299621,     -0.8946742402,                 0,      -1.440004484,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -3.582242607,      -1.144401648,      -1.129260671,       1.868086993,      -1.100970615,        3.81648919,      0.6083649557,      -0.894216866,                 0,                 0,                 0,     -0.2256126764,      0.6083649557,      -0.894216866,                 0,      -1.469869127,              -nan,   -0.001388488048,    -0.02190471912,                 0,   -0.002004172308,     -0.2058762327,     -0.4417345903
          0,           0,           2,      -3.563602631,       -1.15199888,      -1.100183169,       1.887119729,      -1.232470565,       3.488810874,      0.5954192543,     -0.8942048307,                 0,                 0,                 0,     -0.2256097604,      0.5954192543,     -0.8942048307,                 0,      -1.501807045,              -nan,                 0,    -0.02950195119,                 0,                 0,     -0.3373761829,     -0.7694129068
          0,           0,           3,      -3.527362324,      -1.142394315,      -1.051105892,       1.924503785,      -1.329962843,       3.282312864,      0.5817702603,     -0.8936688239,                 0,                 0,                 0,     -0.2253054361,      0.5817702603,     -0.8936688239,                 0,      -1.536119814,              -nan,                 0,    -0.01989738639,                 0,                 0,     -0.4348684608,      -0.975910916
          0,           0,           4,      -3.479668507,      -1.114632194,     -0.9901034374,       1.973421467,      -1.404235558,       3.184524691,      0.5671332191,       -0.89281748,                 0,                 0,                 0,     -0.2248148695,      0.5671332191,       -0.89281748,                 0,      -1.574264123,              -nan,                 0,                 0,                 0,                 0,     -0.5091411754,      -1.073699089
