VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoW]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   
          0,           0,           0,      -4.048910332,      -5.376285276,      -5.220786658,      -6.656918819,       1.354605802,      -7.841559459,      0.3860058336,      0.3439693275,   -0.001840799309,       0.368921252,     -0.1014113118,     -0.3735794224,      0.3674748624,   -0.001840799309,      0.3636999139,      0.8910987802,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.392919869,      -2.200465471,      -3.740712092,      -2.377102444,       1.010888672,      -8.229079433,      0.4065114487,      0.3040245817,   -0.000225204896,       0.328985723,    -0.09285446321,     -0.3961520918,      0.3900429217,   -0.000225204896,      0.3248830919,      0.7478868865,              -nan,     -0.3440095376,                 0,                 0,                 0,     -0.3437171298,     -0.3875199746
          0,           0,           2,      -4.575381894,      -2.350044015,      -3.797927522,      -2.478529727,      0.8273456104,      -8.861754388,      0.4406121134,      0.2890389152,   0.0002753352896,      0.3154563209,    -0.08730411809,     -0.4309477128,      0.4248811418,   0.0002753352896,      0.3117026537,      0.6559940282,              -nan,     -0.5264715622,     -0.1495785438,    -0.05721542993,     -0.1014272833,     -0.5272601915,      -1.020194929
          0,           0,           3,      -4.735394184,       -2.47005053,      -3.834559811,       -2.53886743,      0.6671443738,      -9.073175707,       0.457724016,      0.2841310175,    0.000138395633,      0.3113726939,      -0.083981242,     -0.4480267293,      0.4422264527,    0.000138395633,      0.3076970498,      0.6207474537,              -nan,     -0.6864838526,      -0.269585059,    -0.09384771869,     -0.1617649864,      -0.687461428,      -1.231616248
          0,           0,           4,      -4.814712785,      -2.551810778,      -3.734319331,      -2.607985633,      0.5884380069,      -9.218754559,      0.4531319943,       0.282213911,  -6.491526255e-05,      0.3091626327,    -0.08247703298,     -0.4433131346,      0.4377410578,  -6.491526255e-05,      0.3055422429,      0.6228072936,              -nan,     -0.7658024534,     -0.3513453072,                 0,     -0.2308831887,      -0.766167795,        -1.3771951
          1,           0,           0,      -4.755317162,      -2.515420147,      -3.508927054,      -2.533248921,      0.6499360139,      -9.165714694,      0.4400321765,       0.287348747,  -0.0001829957735,      0.3135084736,     -0.0850565623,     -0.4296550393,      0.4243904563,  -0.0001829957735,      0.3099844503,      0.6530175799,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           1,      -4.757130594,       -2.53410565,      -3.316427435,      -2.520453278,      0.6474975232,      -9.233413162,       0.431654297,      0.2853682311,  -0.0002622325101,      0.3110037783,    -0.08382924697,     -0.4211922073,      0.4161277105,  -0.0002622325101,      0.3075681843,      0.6611036496,              -nan,   -0.001813432015,    -0.01868550267,                 0,                 0,   -0.002438490748,    -0.06769846794
          1,           0,           2,      -4.751328606,      -2.538666872,      -3.314217404,      -2.508555212,      0.6523401719,      -9.200128607,      0.4215070249,      0.2830447211,  -0.0002842349323,      0.3079892458,    -0.08253617537,     -0.4109284104,       0.406115948,  -0.0002842349323,      0.3047167914,      0.6715065334,              -nan,                 0,      -0.023246725,                 0,                 0,                 0,    -0.03441391274
          1,           0,           3,      -4.739200933,      -2.532574964,      -3.234815246,       -2.49489151,       0.663428587,      -9.141924151,      0.4057206203,      0.2804799874,  -0.0001956859219,      0.3042294068,    -0.08130851495,     -0.3949458286,      0.3904854059,  -0.0001956859219,       0.301329376,      0.6913131189,              -nan,                 0,    -0.01715481648,                 0,                 0,                 0,                 0
          1,           0,           4,      -4.735449528,      -2.531850576,      -3.120444468,      -2.495821063,      0.6659478858,      -9.228534403,      0.3961324814,      0.2791318752,  -0.0001459302224,      0.3021543746,    -0.08073604412,     -0.3852279951,       0.380980962,  -0.0001459302224,      0.2994813069,      0.7046427353,              -nan,                 0,    -0.01643042905,                 0,  -0.0009295531483,                 0,    -0.08661025158
          1,           0,           0,      -4.744318081,      -2.546125762,      -3.154214864,      -2.506759913,      0.6550124743,       -9.18384595,      0.3820323662,      0.2753152337,   2.868685027e-05,      0.2971647081,    -0.07899295966,     -0.3710293967,      0.3670999181,   2.868685027e-05,       0.294931953,      0.7206594469,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           1,      -4.760707169,      -2.581007347,      -3.138529436,      -2.537315782,       0.636275696,      -9.134319563,      0.3621473401,      0.2739994445,   0.0004402422018,        0.29396535,     -0.0791615179,     -0.3507492089,      0.3473110068,   0.0004402422018,      0.2925772652,      0.7565965953,              -nan,    -0.01638908777,    -0.03488158472,                 0,    -0.03055586935,    -0.01873677832,                 0
          1,           0,           2,      -4.792237055,      -2.648976188,      -3.114576681,      -2.601054816,        0.60257853,       -9.25206176,       0.351360229,      0.2735357124,   0.0006631684186,      0.2924841045,     -0.0794293266,     -0.3397214189,      0.3365629489,   0.0006631684186,      0.2915496147,      0.7785050492,              -nan,    -0.04791897347,     -0.1028504258,                 0,    -0.09429490388,    -0.05243394431,     -0.1177421962
          1,           0,           3,      -4.811227673,       -2.69566909,      -3.190745549,      -2.644907045,      0.5804689123,      -9.174005608,      0.3352327753,      0.2733203504,    0.001085517977,      0.2906445277,    -0.08025300881,     -0.3231913785,      0.3204688685,    0.001085517977,      0.2904905022,      0.8153151199,              -nan,    -0.06690959192,     -0.1495433284,    -0.07616886744,     -0.1381471329,      -0.074543562,    -0.03968604448
          1,           0,           4,      -4.807998295,      -2.746600719,      -3.214870474,      -2.696349349,      0.5814483291,      -9.059658885,      0.3109471538,      0.2739394599,     0.00181267515,      0.2886972118,    -0.08217572801,     -0.2982152055,       0.296184128,     0.00181267515,      0.2898377521,      0.8809839761,              -nan,      -0.063680214,     -0.2004749566,     -0.1002937925,     -0.1895894366,    -0.07356414525,                 0
