VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
        101,           0,           0,      -2.909889219,     -0.4612166132,     -0.5734322905,       2.550956213,      -1.956307107,       2.402037168,    0.008260798062,   -0.005891920527,                 0,                 0,                 0,     0.02341848811,    0.008260798062,   -0.005891920527,                 0,     -0.7132386584,    0.003013327802,                 0,                 0,                 0,                 0,                 0,                 0
        101,           0,           1,      -4.090435705,      -1.541830816,       -1.54188264,       1.458041092,      -3.224420728,        2.05952006,    0.008290759124,   -0.006945358954,                 0,                 0,                 0,     0.02184818241,    0.008290759124,   -0.006945358954,                 0,     -0.8377229214,    0.003013327802,      -1.180546486,      -1.080614202,     -0.9684503492,      -1.092915121,       -1.26811362,      -0.342517108
        101,           0,           2,      -5.136588324,      -2.266679765,      -2.268317834,      0.4901575835,      -3.743198066,       1.657210492,    0.008329699943,   -0.008838460893,                 0,                 0,                 0,     0.02019727205,    0.008329699943,   -0.008838460893,                 0,      -1.061077944,    0.003013327802,      -2.226699104,      -1.805463152,      -1.694885543,      -2.060798629,      -1.786890959,     -0.7448266762
        101,           0,           3,       -5.65190369,      -2.673661189,      -2.770584223,     -0.1222518079,      -3.990315214,       1.278624075,    0.008339841669,   -0.009264132199,                 0,                 0,                 0,     0.01959596446,    0.008339841669,   -0.009264132199,                 0,      -1.110828307,    0.003013327802,       -2.74201447,      -2.212444575,      -2.197151932,      -2.673208021,      -2.034008107,      -1.123413093
        101,           0,           4,      -5.835196521,      -2.940860974,      -3.019482539,     -0.3415359131,      -4.127149336,       1.609116545,    0.008337098132,     -0.0091123615,                 0,                 0,                 0,     0.01946232566,    0.008337098132,     -0.0091123615,                 0,      -1.092989594,    0.003013327802,      -2.925307302,      -2.479644361,      -2.446050248,      -2.892492126,      -2.170842229,     -0.7929206223
        101,           0,           5,      -5.972924854,      -3.138748514,      -3.110934996,     -0.4856814617,       -4.21779796,       1.578472737,    0.008334942309,   -0.009137077782,                 0,                 0,                 0,     0.01934633381,    0.008334942309,   -0.009137077782,                 0,      -1.096237676,    0.003013327802,      -3.063035635,      -2.677531901,      -2.537502706,      -3.036637675,      -2.261490853,     -0.8235644311
        101,           0,           6,      -5.978514768,      -3.281214034,      -3.140407705,     -0.5008267814,      -4.283386299,        1.45354191,    0.008339008616,   -0.009618997663,                 0,                 0,                 0,     0.01907880739,    0.008339008616,   -0.009618997663,                 0,      -1.153494151,    0.003013327802,      -3.068625549,       -2.81999742,      -2.566975414,      -3.051782994,      -2.327079191,     -0.9484952579
        101,           0,           7,       -5.87608531,      -3.366497131,       -3.14590268,     -0.3987905351,       -4.33236168,       1.295703566,    0.008350944321,     -0.0105996798,                 0,                 0,                 0,     0.01862252374,    0.008350944321,     -0.0105996798,                 0,      -1.269279185,    0.003013327802,      -2.966196091,      -2.905280517,       -2.57247039,      -2.949746748,      -2.376054572,      -1.106333602
        101,           0,           8,      -5.782796118,      -3.399617594,      -3.138449929,     -0.3017085219,      -4.369912035,       1.120841329,    0.008370461416,    -0.01201638797,                 0,                 0,                 0,     0.01799366382,    0.008370461416,    -0.01201638797,                 0,      -1.435570559,    0.003013327802,      -2.872906899,      -2.938400981,      -2.565017639,      -2.852664735,      -2.413604927,      -1.281195838
        101,           0,           9,      -5.727241077,      -3.399967343,       -3.12716367,     -0.2421026159,      -4.399822407,      0.9458429121,    0.008395957593,     -0.0137478041,                 0,                 0,                 0,     0.01723769315,    0.008395957593,     -0.0137478041,                 0,      -1.637431341,    0.003013327802,      -2.817351857,      -2.938750729,      -2.553731379,      -2.793058829,      -2.443515299,      -1.456194256
        101,           0,          10,       -5.70790939,      -3.390483794,      -3.123781349,      -0.218843374,      -4.424722153,      0.7863050941,    0.008424974428,    -0.01564166642,                 0,                 0,                 0,     0.01641621282,    0.008424974428,    -0.01564166642,                 0,      -1.856583252,    0.003013327802,       -2.79802017,      -2.929267181,      -2.550349059,      -2.769799587,      -2.468415046,      -1.615732074
        101,           0,          11,      -5.720962343,      -3.387401677,      -3.137877122,     -0.2279700519,      -4.446304069,      0.6545589126,    0.008454791503,    -0.01754438875,                 0,                 0,                 0,     0.01559286934,    0.008454791503,    -0.01754438875,                 0,      -2.075082366,    0.003013327802,      -2.811073124,      -2.926185064,      -2.564444832,      -2.778926265,      -2.489996962,      -1.747478255
        101,           0,          12,      -5.763839765,      -3.399462525,      -3.175045474,     -0.2667760332,      -4.465594942,      0.5533862601,    0.008483014314,     -0.0193280209,                 0,                 0,                 0,     0.01482058536,    0.008483014314,     -0.0193280209,                 0,      -2.278437851,    0.003013327802,      -2.853950545,      -2.938245912,      -2.601613183,      -2.817732246,      -2.509287835,      -1.848650908
        101,           0,          13,      -5.834720325,      -3.430680864,      -3.238332972,     -0.3334491031,      -4.483177293,      0.4739670171,    0.008507979673,    -0.02090735753,                 0,                 0,                 0,     0.01413368534,    0.008507979673,    -0.02090735753,                 0,      -2.457382167,    0.003013327802,      -2.924831106,      -2.969464251,      -2.664900681,      -2.884405316,      -2.526870186,      -1.928070151
        101,           0,          14,      -5.931051029,      -3.482532304,      -3.329944272,     -0.4259172317,      -4.499348196,      0.4018435818,    0.008528894547,    -0.02224415001,                 0,                 0,                 0,     0.01354620088,    0.008528894547,    -0.02224415001,                 0,      -2.608092982,    0.003013327802,       -3.02116181,      -3.021315691,      -2.756511982,      -2.976873445,      -2.543041088,      -2.000193586
        101,           0,          15,      -6.045954041,      -3.555085653,      -3.452031434,     -0.5391076818,      -4.514237287,      0.3237933118,     0.00854573907,    -0.02334033886,                 0,                 0,                 0,     0.01305522791,     0.00854573907,    -0.02334033886,                 0,      -2.731225313,    0.003013327802,      -3.136064822,       -3.09386904,      -2.878599144,      -3.090063895,       -2.55793018,      -2.078243856
        101,           0,          16,      -6.159914877,      -3.647209368,       -3.60443718,     -0.6578580312,      -4.528403686,      0.2297300563,    0.008559013535,    -0.02422427033,                 0,                 0,                 0,     0.01264734818,    0.008559013535,    -0.02422427033,                 0,      -2.830264285,    0.003013327802,      -3.250025658,      -3.185992755,      -3.031004889,      -3.208814244,      -2.572096579,      -2.172307112
        101,           0,          17,      -6.235848044,      -3.755320401,      -3.767874595,     -0.7479897292,      -4.541131929,      0.1294413473,    0.008569471269,     -0.0249367947,                 0,                 0,                 0,     0.01230490649,    0.008569471269,     -0.0249367947,                 0,      -2.909957209,    0.003013327802,      -3.325958825,      -3.294103788,      -3.194442305,      -3.298945942,      -2.584824821,       -2.27259582
        101,           0,          18,      -6.252585423,      -3.869621876,      -3.861357396,     -0.7781223405,      -4.552613003,     0.04571491644,    0.008577885574,    -0.02551928843,                 0,                 0,                 0,     0.01201121797,    0.008577885574,    -0.02551928843,                 0,      -2.975009192,    0.003013327802,      -3.342696204,      -3.408405262,      -3.287925106,      -3.329078553,      -2.596305896,      -2.356322251
        101,           0,          19,      -6.235788967,       -3.96783183,       -3.82973403,     -0.7644028539,      -4.562994185,    -0.02088885593,    0.008584901725,    -0.02600622647,                 0,                 0,                 0,     0.01175359082,    0.008584901725,    -0.02600622647,                 0,      -3.029298099,    0.003013327802,      -3.325899747,      -3.506615217,      -3.256301739,      -3.315359067,      -2.606687078,      -2.422926024
        101,           0,          20,       -6.21699677,      -4.021041261,      -3.760550171,     -0.7423011687,      -4.572428725,    -0.07216685329,    0.008590975212,    -0.02642214647,                 0,                 0,                 0,      0.0115243064,    0.008590975212,    -0.02642214647,                 0,      -3.075570097,    0.003013327802,       -3.30710755,      -3.559824648,       -3.18711788,      -3.293257382,      -2.616121617,      -2.474204021
        101,           0,          21,      -6.209566493,      -4.025563668,      -3.708576257,     -0.7298157056,      -4.581078386,     -0.1132339727,    0.008596375469,    -0.02678196714,                 0,                 0,                 0,      0.0113200837,    0.008596375469,    -0.02678196714,                 0,      -3.115495273,    0.003013327802,      -3.299677274,      -3.564347055,      -3.135143966,      -3.280771918,      -2.624771278,      -2.515271141
        101,           0,          22,       -6.21641374,      -4.007056914,      -3.680581058,     -0.7315937862,      -4.589100902,     -0.1445394656,    0.008601225123,    -0.02709315358,                 0,                 0,                 0,      0.0111407537,    0.008601225123,    -0.02709315358,                 0,       -3.14991797,    0.003013327802,       -3.30652452,      -3.545840301,      -3.107148767,      -3.282549999,      -2.632793795,      -2.546576633
        101,           0,          23,      -6.237116022,      -3.987865391,      -3.673122982,     -0.7476094176,      -4.596636332,     -0.1681733828,    0.008605552358,    -0.02735849905,                 0,                 0,                 0,     0.01098772693,    0.008605552358,    -0.02735849905,                 0,      -3.179168276,    0.003013327802,      -3.327226803,      -3.526648778,      -3.099690691,       -3.29856563,      -2.640329225,      -2.570210551
        101,           0,          24,       -6.27040296,      -3.977119454,      -3.682236476,     -0.7766212779,      -4.603799069,     -0.1884647221,    0.008609337056,    -0.02757860322,                 0,                 0,                 0,     0.01086270333,    0.008609337056,    -0.02757860322,                 0,      -3.203336452,    0.003013327802,      -3.360513741,      -3.515902841,      -3.108804185,      -3.327577491,      -2.647491961,       -2.59050189
        101,           0,          25,      -6.314808718,      -3.976672793,      -3.704595984,     -0.8171089699,      -4.610675957,     -0.2084111611,    0.008612545591,    -0.02775372876,                 0,                 0,                 0,     0.01076675864,    0.008612545591,    -0.02775372876,                 0,      -3.222476847,    0.003013327802,      -3.404919499,       -3.51545618,      -3.131163694,      -3.368065183,      -2.654368849,      -2.610448329
        101,           0,          26,      -6.368675652,      -3.985685677,      -3.737412196,     -0.8673944726,      -4.617329782,     -0.2342321986,    0.008615153093,    -0.02788491609,                 0,                 0,                 0,     0.01069985608,    0.008615153093,    -0.02788491609,                 0,      -3.236729027,    0.003013327802,      -3.458786432,      -3.524469064,      -3.163979905,      -3.418350685,      -2.661022675,      -2.636269366
        101,           0,          27,      -6.430027608,      -4.002469152,      -3.778225945,     -0.9255608646,      -4.623804877,      -0.265811314,    0.008617153642,    -0.02797446162,                 0,                 0,                 0,     0.01066072069,    0.008617153642,    -0.02797446162,                 0,      -3.246369135,    0.003013327802,      -3.520138389,      -3.541252538,      -3.204793655,      -3.476517077,      -2.667497769,      -2.667848482
